Date,Close/Last,Volume,Open,High,Low
03/31/2025,74.53,365512,73.66,74.69,72.91
03/28/2025,75.17,239048,76.75,76.75,74.82
03/27/2025,77.25,88421,77.77,77.9645,76.94
03/26/2025,77.91,240963,79.59,79.8516,77.60
03/25/2025,79.81,109358,79.91,80.05,79.34
03/24/2025,79.74,143583,79.195,79.91,78.99
03/21/2025,77.92,170521,77.35,78.05,76.8877
03/20/2025,78.39,224860,78.55,79.46,77.95
03/19/2025,79.98,172756,79.96,80.73,79.25
03/18/2025,79.80,147995,79.95,80.13,79.11
03/17/2025,80.56,299356,79.67,81.05,79.35
03/14/2025,78.92,383220,77.19,79.1218,77.035
03/13/2025,75.81,177990,76.03,76.6476,75.084
03/12/2025,75.95,259181,76.12,76.50,75.095
03/11/2025,74.90,356478,74.92,75.815,73.79
03/10/2025,75.02,411084,76.76,76.90,74.185
03/07/2025,78.53,274056,77.45,78.69,76.50
03/06/2025,77.38,210768,78.12,79.05,77.13
03/05/2025,79.69,217485,78.36,79.79,77.86
03/04/2025,77.65,537101,76.50,79.06,75.8401
03/03/2025,77.32,339960,80.21,80.27,76.75
02/28/2025,78.88,404105,77.95,79.2899,77.25
02/27/2025,78.41,488758,81.86,81.97,78.34
02/26/2025,81.44,555688,81.44,82.395,80.965
02/25/2025,80.82,417374,82.14,82.14,80.53
02/24/2025,82.19,350470,83.85,83.97,81.80
02/21/2025,83.70,478618,86.23,86.2599,83.425
02/20/2025,85.70,319543,86.18,86.26,84.75
02/19/2025,85.35,393395,85.03,85.98,84.45
02/18/2025,85.20,283075,85.21,85.2193,84.6912
02/14/2025,84.49,223200,85.16,85.16,84.06
02/13/2025,84.63,295846,83.87,84.6737,83.54
02/12/2025,83.53,194178,82.23,83.65,81.90
02/11/2025,83.14,176218,83.60,83.9897,83.0787
02/10/2025,83.83,297711,83.73,83.97,83.40
02/07/2025,83.23,490318,84.72,84.99,82.98
02/06/2025,84.15,381905,84.60,84.70,83.58
02/05/2025,84.15,297745,83.35,84.25,82.72
02/04/2025,83.40,266515,82.93,83.6392,82.80
02/03/2025,81.89,307579,80.45,82.30,80.26
01/31/2025,82.32,577305,82.80,84.12,82.05
01/30/2025,82.11,441915,81.85,82.47,81.56
01/29/2025,81.24,226407,81.96,81.96,80.78
01/28/2025,81.42,286160,81.25,81.56,79.94
01/27/2025,80.84,659390,81.63,82.12,79.88
01/24/2025,84.20,396547,85.24,85.55,84.09
01/23/2025,85.01,495917,84.66,85.01,84.10
01/22/2025,85.25,577710,85.49,85.79,84.91
01/21/2025,84.52,796844,83.09,84.6399,82.66
01/17/2025,81.88,485594,82.36,82.40,81.75
01/16/2025,81.27,483593,81.39,81.97,80.53
01/15/2025,80.81,639498,80.69,81.17,80.0301
01/14/2025,78.82,364715,77.98,78.83,77.41
01/13/2025,77.29,680218,77.00,77.4799,76.59
01/10/2025,78.86,674776,80.09,80.09,78.62
01/08/2025,80.45,2103323,81.545,81.58,79.22
01/07/2025,84.34,1269126,86.26,86.48,83.8701
01/06/2025,85.45,1430144,84.85,86.31,84.73
01/03/2025,83.58,832107,82.90,83.66,82.01
01/02/2025,82.41,758690,81.81,82.44,81.0201
12/31/2024,81.15,482862,82.46,82.57,80.80
12/30/2024,81.96,810744,82.20,82.789,80.9061
12/27/2024,83.51,835477,84.05,84.57,82.54
12/26/2024,83.99,945201,82.50,84.14,82.18
12/24/2024,82.64,387964,82.50,82.805,81.80
12/23/2024,82.17,633407,81.65,82.2812,81.022
12/20/2024,81.16,972279,76.08,83.36,76.00
12/19/2024,77.57,1155836,84.96,84.96,76.44
12/18/2024,83.98,1598192,86.48,90.75,82.50
12/17/2024,86.48,1513482,84.70,86.59,82.27
12/16/2024,82.59,1550022,77.92,84.59,76.84
12/13/2024,77.64,694437,75.59,77.665,74.90
12/12/2024,74.49,656844,76.50,77.54,74.37
12/11/2024,76.45,492946,78.33,78.39,74.064
12/10/2024,75.66,389926,74.22,76.729,74.08
12/09/2024,74.27,221690,76.75,76.75,74.25
12/06/2024,75.37,330137,73.30,75.45,72.71
12/05/2024,72.18,153748,72.26,72.83,70.86
12/04/2024,71.55,108366,71.66,72.07,70.97
12/03/2024,70.79,100552,70.15,70.85,69.64
12/02/2024,70.60,129654,71.78,71.78,70.10
11/29/2024,70.49,99863,69.25,70.81,68.95
11/27/2024,68.34,88249,68.87,68.87,67.5023
11/26/2024,68.05,122899,69.13,69.474,67.675
11/25/2024,69.55,326778,71.07,71.215,69.28
11/22/2024,68.45,125887,67.60,68.67,66.97
11/21/2024,66.80,147929,66.86,67.35,65.61
11/20/2024,65.91,69537,65.44,65.91,65.04
11/19/2024,65.32,27783,64.02,65.3396,64.02
11/18/2024,64.39,33154,64.71,64.71,63.67
11/15/2024,64.55,118149,65.36,65.36,64.27
11/14/2024,65.76,51802,66.90,66.91,65.72
11/13/2024,66.19,63281,66.20,66.89,65.915
11/12/2024,66.09,49525,66.43,66.78,65.36
11/11/2024,66.89,41827,67.28,67.30,66.09
11/08/2024,66.63,42167,66.06,66.7603,65.973
11/07/2024,66.46,42268,64.58,66.46,64.58
11/06/2024,63.87,52535,63.63,64.045,63.1571
11/05/2024,62.35,21111,62.03,62.3581,62.03
11/04/2024,61.78,22319,62.18,62.5572,61.78
11/01/2024,62.12,21538,62.49,62.76,62.07
10/31/2024,62.28,24186,63.59,63.59,62.1067
10/30/2024,63.89,29781,63.98,64.63,63.86
10/29/2024,64.92,28544,64.80,64.98,64.4127
10/28/2024,64.45,31062,63.99,64.68,63.905
10/25/2024,63.53,21663,63.84,64.34,63.53
10/24/2024,63.26,20357,63.35,63.67,62.98
10/23/2024,62.89,20615,63.29,63.80,62.365
10/22/2024,63.59,22988,63.61,63.61,63.285
10/21/2024,63.87,37563,63.62,63.88,63.18
10/18/2024,63.71,25805,63.50,63.8299,63.34
10/17/2024,63.05,24262,63.67,63.67,63.04
10/16/2024,62.95,73585,62.99,63.10,62.51
10/15/2024,62.63,23706,64.16,64.4566,62.31
10/14/2024,64.18,13131,63.79,64.36,63.79
10/11/2024,63.64,14561,62.37,63.64,62.37
10/10/2024,62.635,13426,62.43,62.635,61.95
10/09/2024,62.92,18312,62.47,62.9919,62.25
10/08/2024,62.56,21841,62.26,62.7099,62.19
10/07/2024,62.38,25393,62.42,62.50,61.92
10/04/2024,62.54,18913,62.62,62.78,62.08
10/03/2024,61.785,20793,61.68,62.10,61.549
10/02/2024,62.23,21276,61.63,62.3799,61.39
10/01/2024,61.74,37838,62.58,62.58,61.2829
09/30/2024,62.40,32603,62.55,63.015,62.03
09/27/2024,63.06,18482,63.63,63.68,63.00
09/26/2024,63.44,40499,63.22,63.5097,62.67
09/25/2024,61.72,40572,61.67,62.17,61.59
09/24/2024,62.02,45767,61.86,62.11,61.49
09/23/2024,61.50,42246,61.25,61.5692,61.25
09/20/2024,61.19,83129,61.39,61.39,60.695
09/19/2024,61.67,53894,61.40,61.9998,61.2501
09/18/2024,59.84,37464,60.40,60.98,59.84
09/17/2024,60.48,17411,60.79,60.94,60.22
09/16/2024,60.34,23480,60.39,60.39,59.9366
09/13/2024,60.55,24482,59.95,60.62,59.95
09/12/2024,59.83,35712,59.42,60.14,59.11
09/11/2024,59.71,43635,58.39,59.71,57.56
09/10/2024,58.16,34690,58.12,58.22,57.36
09/09/2024,57.98,42476,58.02,58.32,57.71
09/06/2024,57.56,37885,59.08,59.08,57.34
09/05/2024,59.14,28361,59.01,59.65,58.93
09/04/2024,59.27,29593,59.00,59.835,58.67
09/03/2024,59.46,85112,61.67,61.67,59.30
08/30/2024,62.38,37573,62.35,62.38,61.62
08/29/2024,61.66,31509,61.68,62.625,61.62
08/28/2024,61.17,39492,61.69,61.97,60.9301
08/27/2024,62.00,21805,61.50,62.00,61.15
08/26/2024,61.51,29863,61.88,62.16,61.50
08/23/2024,62.30,72727,61.45,62.41,61.45
08/22/2024,61.20,41292,62.73,62.73,61.00
08/21/2024,62.26,18651,61.65,62.30,61.565
08/20/2024,61.39,29791,61.81,61.8997,61.185
08/19/2024,61.89,27523,61.44,61.89,60.9601
08/16/2024,61.18,19013,60.99,61.22,60.77
08/15/2024,60.82,17992,60.12,60.97,59.99
08/14/2024,59.02,21059,59.37,59.53,58.69
08/13/2024,59.40,28131,58.45,59.40,58.29
08/12/2024,57.72,36661,57.63,58.09,57.405
08/09/2024,57.64,38879,57.49,57.78,56.99
08/08/2024,57.78,29793,56.56,57.78,55.88
08/07/2024,55.49,63110,57.34,57.51,55.46
08/06/2024,55.86,166367,55.67,56.66,55.07
08/05/2024,55.33,99654,53.52,55.79,52.98
08/02/2024,56.75,75152,57.50,57.66,56.39
08/01/2024,59.43,62214,61.51,61.54,59.00
07/31/2024,61.97,72102,61.53,62.25,61.42
07/30/2024,60.00,102570,61.09,61.25,59.80
07/29/2024,60.98,57652,61.44,61.79,60.98
07/26/2024,61.33,38934,61.29,61.55,60.8399
07/25/2024,60.47,41036,60.93,61.57,59.94
07/24/2024,61.46,35452,63.00,63.01,61.42
07/23/2024,63.58,27832,63.24,63.7599,63.24
07/22/2024,63.78,33713,63.20,63.82,62.86
07/19/2024,62.43,34432,63.38,63.38,62.34
07/18/2024,63.52,43782,64.72,64.72,63.06
07/17/2024,64.35,56691,65.73,65.82,64.33
07/16/2024,66.80,50654,66.02,66.85,66.02
07/15/2024,65.99,30668,65.91,66.41,65.80
07/12/2024,65.85,35662,65.42,66.30,65.28
07/11/2024,65.02,34777,66.28,66.28,64.96
07/10/2024,65.77,32809,65.07,65.80,65.05
07/09/2024,64.58,47827,64.82,64.98,64.359
07/08/2024,64.66,37437,64.24,64.8023,64.24
07/05/2024,64.16,47513,64.18,64.2485,63.6897
07/03/2024,63.87,18747,63.45,64.012,63.42
07/02/2024,63.24,20705,62.50,63.24,62.43
07/01/2024,62.64,94045,63.09,63.16,62.4003
06/28/2024,62.79,71633,62.74,63.46,62.635
