Date,Close/Last,Volume,Open,High,Low
03/31/2025,30.99,18403280,30.77,31.02,30.48
03/28/2025,31.00,25160220,31.39,31.41,30.86
03/27/2025,31.32,34298440,30.77,31.38,30.68
03/26/2025,30.53,13648350,30.71,30.7599,30.48
03/25/2025,30.58,19168010,30.55,30.755,30.515
03/24/2025,29.96,17493690,30.13,30.24,29.92
03/21/2025,30.02,17198900,30.21,30.25,29.7211
03/20/2025,30.50,12842060,30.27,30.5385,30.23
03/19/2025,30.75,23258470,30.68,30.88,30.445
03/18/2025,30.85,20424560,31.10,31.15,30.815
03/17/2025,30.81,20973690,30.42,30.85,30.42
03/14/2025,30.71,23520650,30.91,30.93,30.5101
03/13/2025,30.74,37624030,30.20,30.90,30.13
03/12/2025,30.22,18764800,30.02,30.335,29.935
03/11/2025,29.96,23227820,29.59,30.02,29.58
03/10/2025,29.11,15888990,29.56,29.5799,29.06
03/07/2025,29.59,18786440,29.39,29.675,29.22
03/06/2025,29.69,16888480,29.50,29.83,29.47
03/05/2025,29.77,25486330,29.23,29.78,29.21
03/04/2025,29.00,13767860,29.04,29.14,28.64
03/03/2025,28.75,16521970,28.86,28.9899,28.66
02/28/2025,28.31,13691960,28.18,28.40,28.04
02/27/2025,28.40,16680010,28.94,28.94,28.3842
02/26/2025,28.94,10231020,28.78,29.10,28.66
02/25/2025,28.83,22142400,29.17,29.30,28.47
02/24/2025,29.44,13995200,29.57,29.615,29.21
02/21/2025,29.59,15515830,30.02,30.03,29.5799
02/20/2025,29.95,15420400,29.98,30.13,29.88
02/19/2025,29.81,13660550,29.75,29.84,29.53
02/18/2025,29.91,20511070,29.62,29.96,29.57
02/14/2025,29.31,34965910,30.24,30.275,29.20
02/13/2025,29.46,17030680,29.19,29.48,29.12
02/12/2025,29.34,16716630,29.20,29.47,29.07
02/11/2025,29.00,13779090,28.86,29.1099,28.82
02/10/2025,29.20,14171330,29.15,29.36,29.075
02/07/2025,29.03,26954010,29.57,29.74,28.94
02/06/2025,29.38,17723150,29.24,29.41,28.905
02/05/2025,29.35,34873730,29.36,29.625,29.31
02/04/2025,29.22,41977320,29.11,29.48,29.0212
02/03/2025,28.67,31728850,28.55,28.85,28.20
01/31/2025,28.51,26121560,28.77,28.845,28.39
01/30/2025,28.72,38787660,28.65,28.90,28.53
01/29/2025,28.00,28857810,28.06,28.21,27.85
01/28/2025,27.63,15636500,27.53,27.76,27.385
