Date,Close/Last,Volume,Open,High,Low
03/31/2025,211.47,9477213,207.33,211.69,204.51
03/28/2025,212.17,8722097,216.80,218.04,211.05
03/27/2025,217.75,9072487,219.05,220.70,216.565
03/26/2025,222.01,9685704,228.40,228.795,220.05
03/25/2025,229.65,3451806,230.45,230.66,228.85
03/24/2025,230.63,6503200,229.20,232.418,229.10
03/21/2025,224.77,6319285,222.77,225.61,221.41
03/20/2025,227.05,3654700,225.14,229.01,224.892
03/19/2025,227.41,4932530,225.42,231.015,223.775
03/18/2025,225.42,5196659,226.63,227.77,223.88
03/17/2025,228.96,5192188,226.23,231.04,226.02
03/14/2025,226.57,5100693,223.35,226.964,223.28
03/13/2025,219.55,5126791,220.78,223.88,217.81
03/12/2025,220.52,8710844,220.32,222.95,218.18
03/11/2025,214.22,7381274,215.21,219.02,210.46
03/10/2025,214.53,9616473,219.57,221.29,211.51
03/07/2025,225.09,9426838,220.60,225.75,217.07
03/06/2025,219.78,9155207,221.98,226.16,219.07
03/05/2025,229.40,6799419,227.82,230.21,223.47
03/04/2025,225.23,12563100,222.464,230.80,218.05
03/03/2025,223.01,10001220,235.365,235.37,220.95
02/28/2025,232.77,8654651,228.37,233.78,225.63
02/27/2025,228.79,10520630,246.072,246.38,228.70
02/26/2025,243.82,6675886,241.60,246.12,240.90
02/25/2025,238.25,7658557,242.71,243.78,237.34
02/24/2025,243.42,7518002,251.30,252.06,243.28
02/21/2025,249.99,7578486,258.35,258.70,249.19
02/20/2025,257.80,4401707,258.07,259.63,254.92
02/19/2025,257.34,3025373,255.98,258.3799,253.88
02/18/2025,256.22,6361446,254.715,257.20,253.34
02/14/2025,252.58,4279519,252.00,253.22,250.63
02/13/2025,251.92,4486146,248.00,252.09,247.79
02/12/2025,248.51,4212803,245.70,248.74,244.54
02/11/2025,249.87,3134879,247.70,251.04,247.41
02/10/2025,249.62,4231308,247.00,250.29,247.00
02/07/2025,245.00,7258908,249.56,250.65,243.48
02/06/2025,248.35,4877200,247.18,248.43,245.61
02/05/2025,247.14,4811115,242.12,247.50,240.40
02/04/2025,241.47,4579021,238.81,242.62,238.58
02/03/2025,238.78,7479648,235.97,241.64,235.12
01/31/2025,243.62,8021088,246.17,251.455,242.92
01/30/2025,245.17,7676288,243.42,245.8499,240.67
01/29/2025,239.53,8366035,242.41,242.4537,236.635
01/28/2025,240.45,11707320,237.89,241.031,232.26
01/27/2025,235.81,21944880,242.48,245.08,232.24
01/24/2025,261.53,5119857,267.40,267.43,260.62
01/23/2025,266.85,4704876,263.02,266.86,261.90
01/22/2025,267.17,6616460,266.00,269.66,265.14
01/21/2025,262.39,4922970,260.80,264.32,258.4506
01/17/2025,258.25,5387323,257.98,258.68,255.61
01/16/2025,252.29,5696146,257.11,257.20,252.15
01/15/2025,251.21,5316796,249.245,252.07,247.70
01/14/2025,245.44,3791539,247.73,248.3828,242.39
01/13/2025,244.64,6007459,241.065,244.93,240.62
01/10/2025,247.18,6901514,249.41,249.59,244.92
01/08/2025,252.23,5189522,253.56,254.33,249.5108
01/07/2025,254.04,7661073,263.42,263.58,253.05
01/06/2025,260.23,10533190,258.67,263.29,258.50
01/03/2025,251.88,4997025,247.00,252.33,246.68
01/02/2025,244.79,4464000,244.52,247.75,242.25
12/31/2024,242.17,3071840,245.51,246.05,241.40
12/30/2024,244.66,3532095,244.62,247.35,242.73
12/27/2024,248.40,3812328,249.28,250.07,245.16
12/26/2024,250.93,2171444,250.42,252.39,248.88
12/24/2024,251.37,2097390,250.44,251.37,249.38
12/23/2024,249.22,6650078,243.53,249.585,243.53
12/20/2024,242.71,6909310,237.40,245.2599,236.54
12/19/2024,238.87,6895880,243.00,243.25,238.35
12/18/2024,241.99,8125847,252.16,254.47,240.4527
